YEAR,MONTH,LINE,TRAFFIC,DAY
2013,1,강변북로,230850,일요일
2013,1,강변북로,256769,월요일
2013,1,강변북로,267527,화요일
2013,1,강변북로,258912,수요일
2013,1,강변북로,267878,목요일
2013,1,강변북로,266620,금요일
2013,1,강변북로,259271,토요일
2013,2,강변북로,224682,일요일
2013,2,강변북로,248818,월요일
2013,2,강변북로,265139,화요일
2013,2,강변북로,271141,수요일
2013,2,강변북로,273528,목요일
2013,2,강변북로,268045,금요일
2013,2,강변북로,266048,토요일
2013,3,강변북로,252603,일요일
2013,3,강변북로,270556,월요일
2013,3,강변북로,275457,화요일
2013,3,강변북로,279272,수요일
2013,3,강변북로,277580,목요일
2013,3,강변북로,281506,금요일
2013,3,강변북로,268476,토요일
2013,4,강변북로,252120,일요일
2013,4,강변북로,270906,월요일
2013,4,강변북로,274025,화요일
2013,4,강변북로,276314,수요일
2013,4,강변북로,274228,목요일
2013,4,강변북로,275873,금요일
2013,4,강변북로,265589,토요일
2013,5,강변북로,256183,일요일
2013,5,강변북로,268820,월요일
2013,5,강변북로,274233,화요일
2013,5,강변북로,272487,수요일
2013,5,강변북로,275479,목요일
2013,5,강변북로,279484,금요일
2013,5,강변북로,268552,토요일
2013,6,강변북로,251720,일요일
2013,6,강변북로,269664,월요일
2013,6,강변북로,268948,화요일
2013,6,강변북로,270829,수요일
2013,6,강변북로,274033,목요일
2013,6,강변북로,270461,금요일
2013,6,강변북로,268663,토요일
2013,7,강변북로,234820,일요일
2013,7,강변북로,251569,월요일
2013,7,강변북로,259621,화요일
2013,7,강변북로,268076,수요일
2013,7,강변북로,267420,목요일
2013,7,강변북로,265806,금요일
2013,7,강변북로,264924,토요일
2013,8,강변북로,247717,일요일
2013,8,강변북로,263589,월요일
2013,8,강변북로,266372,화요일
2013,8,강변북로,266985,수요일
2013,8,강변북로,267016,목요일
2013,8,강변북로,265467,금요일
2013,8,강변북로,264357,토요일
2013,9,강변북로,236576,일요일
2013,9,강변북로,260420,월요일
2013,9,강변북로,259706,화요일
2013,9,강변북로,264911,수요일
2013,9,강변북로,262824,목요일
2013,9,강변북로,258305,금요일
2013,9,강변북로,255093,토요일
2013,10,강변북로,248128,일요일
2013,10,강변북로,263252,월요일
2013,10,강변북로,260638,화요일
2013,10,강변북로,267884,수요일
2013,10,강변북로,270109,목요일
2013,10,강변북로,265249,금요일
2013,10,강변북로,252277,토요일
2013,11,강변북로,248412,일요일
2013,11,강변북로,262002,월요일
2013,11,강변북로,270648,화요일
2013,11,강변북로,266410,수요일
2013,11,강변북로,274513,목요일
2013,11,강변북로,270890,금요일
2013,11,강변북로,263557,토요일
2013,12,강변북로,234125,일요일
2013,12,강변북로,253613,월요일
2013,12,강변북로,259049,화요일
2013,12,강변북로,256140,수요일
2013,12,강변북로,250822,목요일
2013,12,강변북로,263896,금요일
2013,12,강변북로,254478,토요일
2013,1,경부고속도로,169486,일요일
2013,1,경부고속도로,183597,월요일
2013,1,경부고속도로,201919,화요일
2013,1,경부고속도로,183175,수요일
2013,1,경부고속도로,201413,목요일
2013,1,경부고속도로,204240,금요일
2013,1,경부고속도로,192604,토요일
2013,2,경부고속도로,176813,일요일
2013,2,경부고속도로,185629,월요일
2013,2,경부고속도로,201556,화요일
2013,2,경부고속도로,192857,수요일
2013,2,경부고속도로,208827,목요일
2013,2,경부고속도로,202904,금요일
2013,2,경부고속도로,200071,토요일
2013,3,경부고속도로,191229,일요일
2013,3,경부고속도로,201646,월요일
2013,3,경부고속도로,211436,화요일
2013,3,경부고속도로,203057,수요일
2013,3,경부고속도로,213975,목요일
2013,3,경부고속도로,219376,금요일
2013,3,경부고속도로,206909,토요일
2013,4,경부고속도로,195680,일요일
2013,4,경부고속도로,204451,월요일
2013,4,경부고속도로,211843,화요일
2013,4,경부고속도로,207429,수요일
2013,4,경부고속도로,215971,목요일
2013,4,경부고속도로,221630,금요일
2013,4,경부고속도로,203750,토요일
2013,5,경부고속도로,200921,일요일
2013,5,경부고속도로,206798,월요일
2013,5,경부고속도로,214880,화요일
2013,5,경부고속도로,207195,수요일
2013,5,경부고속도로,217206,목요일
2013,5,경부고속도로,219896,금요일
2013,5,경부고속도로,213738,토요일
2013,6,경부고속도로,198734,일요일
2013,6,경부고속도로,206866,월요일
2013,6,경부고속도로,211625,화요일
2013,6,경부고속도로,206378,수요일
2013,6,경부고속도로,219559,목요일
2013,6,경부고속도로,219917,금요일
2013,6,경부고속도로,216453,토요일
2013,7,경부고속도로,183159,일요일
2013,7,경부고속도로,194095,월요일
2013,7,경부고속도로,205337,화요일
2013,7,경부고속도로,198357,수요일
2013,7,경부고속도로,211264,목요일
2013,7,경부고속도로,216521,금요일
2013,7,경부고속도로,207340,토요일
2013,8,경부고속도로,194389,일요일
2013,8,경부고속도로,202585,월요일
2013,8,경부고속도로,211316,화요일
2013,8,경부고속도로,203710,수요일
2013,8,경부고속도로,213767,목요일
2013,8,경부고속도로,214621,금요일
2013,8,경부고속도로,208114,토요일
2013,9,경부고속도로,193511,일요일
2013,9,경부고속도로,204514,월요일
2013,9,경부고속도로,209968,화요일
2013,9,경부고속도로,204380,수요일
2013,9,경부고속도로,217725,목요일
2013,9,경부고속도로,218968,금요일
2013,9,경부고속도로,205838,토요일
2013,10,경부고속도로,203426,일요일
2013,10,경부고속도로,209068,월요일
2013,10,경부고속도로,212700,화요일
2013,10,경부고속도로,207561,수요일
2013,10,경부고속도로,217627,목요일
2013,10,경부고속도로,221461,금요일
2013,10,경부고속도로,217074,토요일
2013,11,경부고속도로,195164,일요일
2013,11,경부고속도로,203774,월요일
2013,11,경부고속도로,212045,화요일
2013,11,경부고속도로,204371,수요일
2013,11,경부고속도로,213849,목요일
2013,11,경부고속도로,220810,금요일
2013,11,경부고속도로,211936,토요일
2013,12,경부고속도로,181805,일요일
2013,12,경부고속도로,191985,월요일
2013,12,경부고속도로,208897,화요일
2013,12,경부고속도로,195750,수요일
2013,12,경부고속도로,202408,목요일
2013,12,경부고속도로,208536,금요일
2013,12,경부고속도로,198049,토요일
2013,1,내부순환로,131719,일요일
2013,1,내부순환로,148398,월요일
2013,1,내부순환로,154839,화요일
2013,1,내부순환로,151469,수요일
2013,1,내부순환로,154583,목요일
2013,1,내부순환로,157048,금요일
2013,1,내부순환로,150022,토요일
2013,2,내부순환로,140043,일요일
2013,2,내부순환로,147074,월요일
2013,2,내부순환로,157922,화요일
2013,2,내부순환로,162070,수요일
2013,2,내부순환로,167084,목요일
